epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,6289.79,0.9684,0.41157,1.07372,0.97761,0.98082,0.98294,0.79227,0.77747,0.30984,1.03299,0.000742625,0.000742625,0.000742625
43,6425.51,0.96961,0.40738,1.06891,0.99007,0.9787,0.98947,0.79692,0.76875,0.30818,1.03339,0.00073025,0.00073025,0.00073025
44,6561.39,0.95999,0.404,1.06816,0.98734,0.97709,0.98444,0.78331,0.77111,0.31421,1.03294,0.000717875,0.000717875,0.000717875
45,6697.43,0.94784,0.40203,1.06238,0.99047,0.97643,0.98783,0.78326,0.78167,0.31298,1.04035,0.0007055,0.0007055,0.0007055
46,6833.05,0.94201,0.39912,1.06251,0.98146,0.97544,0.98213,0.7895,0.76207,0.30122,1.02688,0.000693125,0.000693125,0.000693125
47,6968.86,0.94365,0.39822,1.0651,0.98944,0.98148,0.99102,0.8006,0.74885,0.29814,1.02467,0.00068075,0.00068075,0.00068075
48,7104.61,0.92058,0.39056,1.05444,0.99573,0.9838,0.99393,0.8011,0.75643,0.30437,1.03077,0.000668375,0.000668375,0.000668375
49,7240.33,0.91447,0.38832,1.04788,0.97956,0.98275,0.98495,0.80384,0.75719,0.2966,1.03092,0.000656,0.000656,0.000656
50,7376.31,0.91038,0.38623,1.04709,0.9894,0.98234,0.9904,0.79916,0.75362,0.29297,1.02648,0.000643625,0.000643625,0.000643625
51,7512.35,0.90797,0.38849,1.04732,0.98354,0.98403,0.99078,0.79948,0.74385,0.2985,1.02031,0.00063125,0.00063125,0.00063125
52,7648.08,0.90004,0.38187,1.04184,0.98171,0.97673,0.98383,0.79389,0.75484,0.29655,1.02717,0.000618875,0.000618875,0.000618875
53,7783.75,0.88082,0.38061,1.03186,0.97939,0.97995,0.98382,0.79967,0.75685,0.29792,1.0247,0.0006065,0.0006065,0.0006065
54,7919.33,0.88429,0.3799,1.03212,0.98474,0.97711,0.98389,0.79658,0.75155,0.28889,1.0223,0.000594125,0.000594125,0.000594125
55,8055.18,0.87065,0.37655,1.02368,0.98559,0.97789,0.98382,0.79613,0.74581,0.28837,1.02232,0.00058175,0.00058175,0.00058175
56,8191.09,0.87688,0.37189,1.0294,0.98499,0.98646,0.99106,0.7976,0.7419,0.28698,1.02213,0.000569375,0.000569375,0.000569375
57,8326.93,0.86307,0.36898,1.01957,0.98325,0.98177,0.98894,0.79889,0.74827,0.29331,1.02401,0.000557,0.000557,0.000557
58,8462.74,0.85143,0.36749,1.01713,0.98649,0.97771,0.98362,0.80669,0.7356,0.28349,1.02492,0.000544625,0.000544625,0.000544625
59,8599.28,0.84896,0.36625,1.02112,0.989,0.98205,0.98976,0.79886,0.73426,0.28423,1.01697,0.00053225,0.00053225,0.00053225
60,8735.12,0.8379,0.36081,1.0093,0.98125,0.96969,0.97904,0.7939,0.7474,0.2933,1.02911,0.000519875,0.000519875,0.000519875
61,8870.3,0.84262,0.3629,1.00991,0.97989,0.98341,0.98384,0.80658,0.73168,0.28222,1.01337,0.0005075,0.0005075,0.0005075
62,9005.53,0.823,0.35723,1.00213,0.98005,0.98312,0.98258,0.80362,0.74074,0.28223,1.0192,0.000495125,0.000495125,0.000495125
63,9141.75,0.81826,0.35291,0.99951,0.98961,0.9827,0.99054,0.79819,0.73484,0.28646,1.01623,0.00048275,0.00048275,0.00048275
64,9277.33,0.81536,0.35106,1.00045,0.9886,0.98163,0.98918,0.80228,0.73191,0.28915,1.01648,0.000470375,0.000470375,0.000470375
65,9412.85,0.80869,0.35099,0.99512,0.98708,0.98641,0.99088,0.80208,0.73745,0.28141,1.01734,0.000458,0.000458,0.000458
66,9548.67,0.80891,0.34854,0.99992,0.9903,0.98803,0.99008,0.79952,0.73951,0.28269,1.02285,0.000445625,0.000445625,0.000445625
67,9684.23,0.80001,0.34527,0.99788,0.99005,0.98292,0.98939,0.80748,0.73361,0.27988,1.01787,0.00043325,0.00043325,0.00043325
68,9820.25,0.79285,0.34416,0.98896,0.98814,0.97651,0.98061,0.79899,0.73049,0.27801,1.01666,0.000420875,0.000420875,0.000420875
69,9955.73,0.78276,0.34091,0.98833,0.98546,0.98858,0.99106,0.80566,0.72086,0.27371,1.01048,0.0004085,0.0004085,0.0004085
70,10091.6,0.78144,0.34045,0.98709,0.98696,0.98,0.98474,0.80778,0.72837,0.27481,1.02027,0.000396125,0.000396125,0.000396125
71,10227.6,0.76892,0.3367,0.98385,0.98697,0.98066,0.9836,0.79432,0.73656,0.27805,1.0284,0.00038375,0.00038375,0.00038375
72,10363.4,0.77101,0.33669,0.98549,0.99115,0.98665,0.99107,0.80368,0.73631,0.27838,1.02265,0.000371375,0.000371375,0.000371375
73,10498.7,0.76671,0.33468,0.98262,0.98226,0.98379,0.98362,0.8029,0.73503,0.27816,1.02683,0.000359,0.000359,0.000359
74,10634,0.75655,0.33141,0.97957,0.98446,0.98268,0.98334,0.8,0.73095,0.27258,1.0266,0.000346625,0.000346625,0.000346625
75,10769,0.75297,0.32996,0.97545,0.98449,0.98299,0.98349,0.80176,0.73152,0.27259,1.0263,0.00033425,0.00033425,0.00033425
76,10904.2,0.75365,0.32935,0.97734,0.98559,0.98364,0.9832,0.79562,0.73074,0.27249,1.02665,0.000321875,0.000321875,0.000321875
77,11039.9,0.73531,0.32196,0.96887,0.98622,0.98446,0.983,0.79599,0.73279,0.27333,1.02915,0.0003095,0.0003095,0.0003095
78,11175.3,0.73189,0.32311,0.97012,0.98778,0.98863,0.98974,0.79926,0.72845,0.27015,1.03098,0.000297125,0.000297125,0.000297125
79,11311.4,0.7299,0.32289,0.96766,0.9871,0.97692,0.98359,0.80556,0.72075,0.27082,1.02221,0.00028475,0.00028475,0.00028475
80,11447,0.72144,0.31502,0.96514,0.98675,0.97883,0.98467,0.81104,0.72611,0.27234,1.0265,0.000272375,0.000272375,0.000272375
81,11582.8,0.72413,0.31809,0.96338,0.98456,0.98434,0.98483,0.8063,0.72778,0.27215,1.0253,0.00026,0.00026,0.00026
82,11718.8,0.70324,0.3114,0.95352,0.98974,0.98406,0.99056,0.80895,0.72598,0.26993,1.02605,0.000247625,0.000247625,0.000247625
83,11854.6,0.71431,0.31673,0.96283,0.9836,0.9876,0.99056,0.80603,0.72538,0.27318,1.02803,0.00023525,0.00023525,0.00023525
84,11990.7,0.71024,0.31317,0.95598,0.98508,0.98838,0.98963,0.80449,0.72544,0.27433,1.02943,0.000222875,0.000222875,0.000222875
85,12126,0.70103,0.31155,0.95772,0.98683,0.97838,0.98317,0.8021,0.71762,0.26726,1.02362,0.0002105,0.0002105,0.0002105
86,12262,0.69499,0.30593,0.95522,0.99142,0.98073,0.99,0.80617,0.72504,0.26788,1.02757,0.000198125,0.000198125,0.000198125
87,12397.8,0.69492,0.30385,0.95417,0.99045,0.9819,0.99021,0.80512,0.723,0.26929,1.03002,0.00018575,0.00018575,0.00018575
88,12533.1,0.68936,0.30386,0.95551,0.985,0.9777,0.98315,0.80339,0.72472,0.26908,1.03024,0.000173375,0.000173375,0.000173375
89,12668.6,0.67937,0.30075,0.94666,0.99,0.98232,0.99025,0.8066,0.72371,0.26846,1.03109,0.000161,0.000161,0.000161
90,12804.1,0.67411,0.29867,0.94237,0.98836,0.98665,0.99009,0.8064,0.72617,0.26267,1.02898,0.000148625,0.000148625,0.000148625
91,12961.7,0.7374,0.29905,0.99222,0.99005,0.98796,0.99143,0.81049,0.72937,0.26619,1.0266,0.00013625,0.00013625,0.00013625
92,13097.7,0.71431,0.29764,0.98136,0.98928,0.98569,0.9908,0.8111,0.72457,0.26676,1.02618,0.000123875,0.000123875,0.000123875
93,13233.5,0.70201,0.29172,0.97334,0.99484,0.98661,0.99408,0.81454,0.72501,0.26591,1.02646,0.0001115,0.0001115,0.0001115
94,13369.3,0.69751,0.29025,0.97086,0.99502,0.9868,0.99403,0.81551,0.722,0.2653,1.0263,9.9125e-05,9.9125e-05,9.9125e-05
95,13505,0.68175,0.28763,0.96602,0.99471,0.98691,0.99393,0.81682,0.72044,0.26563,1.02684,8.675e-05,8.675e-05,8.675e-05
96,13640.6,0.6786,0.28468,0.96024,0.99506,0.98712,0.99367,0.81635,0.72028,0.26509,1.0262,7.4375e-05,7.4375e-05,7.4375e-05
97,13776.2,0.67509,0.2843,0.95825,0.99499,0.98755,0.99364,0.81678,0.71829,0.26659,1.02421,6.2e-05,6.2e-05,6.2e-05
98,13911.3,0.66314,0.28018,0.95326,0.99451,0.98737,0.99363,0.81712,0.71956,0.26741,1.02429,4.9625e-05,4.9625e-05,4.9625e-05
99,14046.7,0.66111,0.28019,0.95021,0.99496,0.98714,0.99363,0.81572,0.72167,0.26662,1.02568,3.725e-05,3.725e-05,3.725e-05
100,14182.3,0.66484,0.27995,0.95701,0.99522,0.98678,0.99341,0.81456,0.7211,0.26647,1.02636,2.4875e-05,2.4875e-05,2.4875e-05
